Season/Team,is_goalie,Passing,Receiving,Frequency,Passing_Sum_Frequency,Pass Probability,player_id_x,season_starts_x,average_location_x,row_id_x,player_id_y,season_starts_y,average_location_y,row_id_y,pass_completed,source,target,source_x,source_y,target_x,target_y
La Liga 2020/2021 Barcelona,0,Lionel Andrés Messi Cuccittini,Sergio Busquets i Burgos,256.0,1648.5,0.15529269,5503,33,"[76.28396674584323, 45.30712589073629]",1,5203,30,"[60.64644268774705, 41.794762845849824]",3,1.9101123595505618,Lionel Andrés Messi Cuccittini,Sergio Busquets i Burgos,0.6356997228820269,0.5663390736342035,0.505387022397892,0.5224345355731228
La Liga 2020/2021 Barcelona,1,Marc-André ter Stegen,Clément Lenglet,168.0,675.5,0.248704663,20055,29,"[11.704034582132566, 39.61152737752163]",4,6826,28,"[48.21802325581388, 24.019534883720908]",6,1.250936329588015,Marc-André ter Stegen,Clément Lenglet,0.09753362151777138,0.4951440922190204,0.40181686046511567,0.3002441860465114
La Liga 2020/2021 Barcelona,0,Clément Lenglet,Pedro González López,126.0,1700.0,0.074117647,6826,28,"[48.21802325581388, 24.019534883720908]",6,30486,26,"[70.47105643994209, 33.34645441389291]",7,0.9363295880149812,Clément Lenglet,Pedro González López,0.40181686046511567,0.3002441860465114,0.5872588036661841,0.4168306801736613
La Liga 2020/2021 Barcelona,0,Pedro González López,Marc-André ter Stegen,23.0,1234.0,0.018638574,30486,26,"[70.47105643994209, 33.34645441389291]",7,20055,29,"[11.704034582132566, 39.61152737752163]",4,0.1647940074906367,Pedro González López,Marc-André ter Stegen,0.5872588036661841,0.4168306801736613,0.09753362151777138,0.4951440922190204
La Liga 2020/2021 Barcelona,0,Clément Lenglet,Jordi Alba Ramos,535.0,1700.0,0.314705882,6826,28,"[48.21802325581388, 24.019534883720908]",6,5211,33,"[64.3328934010153, 13.335837563451763]",0,4.0,Clément Lenglet,Jordi Alba Ramos,0.40181686046511567,0.3002441860465114,0.5361074450084609,0.16669796954314703
La Liga 2020/2021 Barcelona,0,Jordi Alba Ramos,Gerard Piqué Bernabéu,51.0,1802.0,0.028301887,5211,33,"[64.3328934010153, 13.335837563451763]",0,5213,18,"[44.90674157303369, 46.00134831460674]",10,0.37453183520599254,Jordi Alba Ramos,Gerard Piqué Bernabéu,0.5361074450084609,0.16669796954314703,0.3742228464419474,0.5750168539325842
La Liga 2020/2021 Barcelona,1,Marc-André ter Stegen,Gerard Piqué Bernabéu,59.0,675.5,0.087342709,20055,29,"[11.704034582132566, 39.61152737752163]",4,5213,18,"[44.90674157303369, 46.00134831460674]",10,0.4344569288389513,Marc-André ter Stegen,Gerard Piqué Bernabéu,0.09753362151777138,0.4951440922190204,0.3742228464419474,0.5750168539325842
La Liga 2020/2021 Barcelona,0,Gerard Piqué Bernabéu,Marc-André ter Stegen,46.0,814.0,0.056511057,5213,18,"[44.90674157303369, 46.00134831460674]",10,20055,29,"[11.704034582132566, 39.61152737752163]",4,0.33707865168539325,Gerard Piqué Bernabéu,Marc-André ter Stegen,0.3742228464419474,0.5750168539325842,0.09753362151777138,0.4951440922190204
La Liga 2020/2021 Barcelona,1,Marc-André ter Stegen,Sergio Busquets i Burgos,62.0,675.5,0.091783864,20055,29,"[11.704034582132566, 39.61152737752163]",4,5203,30,"[60.64644268774705, 41.794762845849824]",3,0.45692883895131087,Marc-André ter Stegen,Sergio Busquets i Burgos,0.09753362151777138,0.4951440922190204,0.505387022397892,0.5224345355731228
La Liga 2020/2021 Barcelona,0,Sergio Busquets i Burgos,Gerard Piqué Bernabéu,105.0,1855.0,0.056603774,5203,30,"[60.64644268774705, 41.794762845849824]",3,5213,18,"[44.90674157303369, 46.00134831460674]",10,0.7790262172284644,Sergio Busquets i Burgos,Gerard Piqué Bernabéu,0.505387022397892,0.5224345355731228,0.3742228464419474,0.5750168539325842
La Liga 2020/2021 Barcelona,0,Gerard Piqué Bernabéu,Sergio Busquets i Burgos,84.0,814.0,0.103194103,5213,18,"[44.90674157303369, 46.00134831460674]",10,5203,30,"[60.64644268774705, 41.794762845849824]",3,0.6217228464419475,Gerard Piqué Bernabéu,Sergio Busquets i Burgos,0.3742228464419474,0.5750168539325842,0.505387022397892,0.5224345355731228
La Liga 2020/2021 Barcelona,0,Jordi Alba Ramos,Clément Lenglet,327.0,1802.0,0.181465039,5211,33,"[64.3328934010153, 13.335837563451763]",0,6826,28,"[48.21802325581388, 24.019534883720908]",6,2.4419475655430714,Jordi Alba Ramos,Clément Lenglet,0.5361074450084609,0.16669796954314703,0.40181686046511567,0.3002441860465114
La Liga 2020/2021 Barcelona,0,Clément Lenglet,Gerard Piqué Bernabéu,186.0,1700.0,0.109411765,6826,28,"[48.21802325581388, 24.019534883720908]",6,5213,18,"[44.90674157303369, 46.00134831460674]",10,1.3857677902621723,Clément Lenglet,Gerard Piqué Bernabéu,0.40181686046511567,0.3002441860465114,0.3742228464419474,0.5750168539325842
La Liga 2020/2021 Barcelona,0,Clément Lenglet,Marc-André ter Stegen,138.0,1700.0,0.081176471,6826,28,"[48.21802325581388, 24.019534883720908]",6,20055,29,"[11.704034582132566, 39.61152737752163]",4,1.0262172284644195,Clément Lenglet,Marc-André ter Stegen,0.40181686046511567,0.3002441860465114,0.09753362151777138,0.4951440922190204
La Liga 2020/2021 Barcelona,0,Gerard Piqué Bernabéu,Jordi Alba Ramos,52.0,814.0,0.063882064,5213,18,"[44.90674157303369, 46.00134831460674]",10,5211,33,"[64.3328934010153, 13.335837563451763]",0,0.38202247191011235,Gerard Piqué Bernabéu,Jordi Alba Ramos,0.3742228464419474,0.5750168539325842,0.5361074450084609,0.16669796954314703
La Liga 2020/2021 Barcelona,0,Jordi Alba Ramos,Antoine Griezmann,217.0,1802.0,0.120421754,5211,33,"[64.3328934010153, 13.335837563451763]",0,5487,29,"[74.46686626746508, 37.307984031936144]",5,1.6179775280898876,Jordi Alba Ramos,Antoine Griezmann,0.5361074450084609,0.16669796954314703,0.6205572188955423,0.4663498003992018
La Liga 2020/2021 Barcelona,0,Antoine Griezmann,Jordi Alba Ramos,202.0,932.0,0.216738197,5487,29,"[74.46686626746508, 37.307984031936144]",5,5211,33,"[64.3328934010153, 13.335837563451763]",0,1.5056179775280898,Antoine Griezmann,Jordi Alba Ramos,0.6205572188955423,0.4663498003992018,0.5361074450084609,0.16669796954314703
La Liga 2020/2021 Barcelona,0,Jordi Alba Ramos,Sergio Busquets i Burgos,243.0,1802.0,0.134850166,5211,33,"[64.3328934010153, 13.335837563451763]",0,5203,30,"[60.64644268774705, 41.794762845849824]",3,1.8127340823970037,Jordi Alba Ramos,Sergio Busquets i Burgos,0.5361074450084609,0.16669796954314703,0.505387022397892,0.5224345355731228
La Liga 2020/2021 Barcelona,0,Sergio Busquets i Burgos,Lionel Andrés Messi Cuccittini,501.0,1855.0,0.270080863,5203,30,"[60.64644268774705, 41.794762845849824]",3,5503,33,"[76.28396674584323, 45.30712589073629]",1,3.745318352059925,Sergio Busquets i Burgos,Lionel Andrés Messi Cuccittini,0.505387022397892,0.5224345355731228,0.6356997228820269,0.5663390736342035
La Liga 2020/2021 Barcelona,0,Lionel Andrés Messi Cuccittini,Jordi Alba Ramos,213.0,1648.5,0.129208371,5503,33,"[76.28396674584323, 45.30712589073629]",1,5211,33,"[64.3328934010153, 13.335837563451763]",0,1.5880149812734083,Lionel Andrés Messi Cuccittini,Jordi Alba Ramos,0.6356997228820269,0.5663390736342035,0.5361074450084609,0.16669796954314703
La Liga 2020/2021 Barcelona,0,Pedro González López,Jordi Alba Ramos,274.0,1234.0,0.222042139,30486,26,"[70.47105643994209, 33.34645441389291]",7,5211,33,"[64.3328934010153, 13.335837563451763]",0,2.044943820224719,Pedro González López,Jordi Alba Ramos,0.5872588036661841,0.4168306801736613,0.5361074450084609,0.16669796954314703
La Liga 2020/2021 Barcelona,0,Clément Lenglet,Sergio Busquets i Burgos,227.0,1700.0,0.133529412,6826,28,"[48.21802325581388, 24.019534883720908]",6,5203,30,"[60.64644268774705, 41.794762845849824]",3,1.692883895131086,Clément Lenglet,Sergio Busquets i Burgos,0.40181686046511567,0.3002441860465114,0.505387022397892,0.5224345355731228
La Liga 2020/2021 Barcelona,0,Gerard Piqué Bernabéu,Lionel Andrés Messi Cuccittini,52.0,814.0,0.063882064,5213,18,"[44.90674157303369, 46.00134831460674]",10,5503,33,"[76.28396674584323, 45.30712589073629]",1,0.38202247191011235,Gerard Piqué Bernabéu,Lionel Andrés Messi Cuccittini,0.3742228464419474,0.5750168539325842,0.6356997228820269,0.5663390736342035
La Liga 2020/2021 Barcelona,0,Lionel Andrés Messi Cuccittini,Gerard Piqué Bernabéu,35.0,1648.5,0.021231423,5503,33,"[76.28396674584323, 45.30712589073629]",1,5213,18,"[44.90674157303369, 46.00134831460674]",10,0.2546816479400749,Lionel Andrés Messi Cuccittini,Gerard Piqué Bernabéu,0.6356997228820269,0.5663390736342035,0.3742228464419474,0.5750168539325842
La Liga 2020/2021 Barcelona,0,Gerard Piqué Bernabéu,Clément Lenglet,290.0,814.0,0.356265356,5213,18,"[44.90674157303369, 46.00134831460674]",10,6826,28,"[48.21802325581388, 24.019534883720908]",6,2.1647940074906367,Gerard Piqué Bernabéu,Clément Lenglet,0.3742228464419474,0.5750168539325842,0.40181686046511567,0.3002441860465114
La Liga 2020/2021 Barcelona,0,Sergio Busquets i Burgos,Antoine Griezmann,110.0,1855.0,0.059299191,5203,30,"[60.64644268774705, 41.794762845849824]",3,5487,29,"[74.46686626746508, 37.307984031936144]",5,0.8164794007490637,Sergio Busquets i Burgos,Antoine Griezmann,0.505387022397892,0.5224345355731228,0.6205572188955423,0.4663498003992018
La Liga 2020/2021 Barcelona,0,Antoine Griezmann,Lionel Andrés Messi Cuccittini,170.0,932.0,0.182403433,5487,29,"[74.46686626746508, 37.307984031936144]",5,5503,33,"[76.28396674584323, 45.30712589073629]",1,1.2659176029962547,Antoine Griezmann,Lionel Andrés Messi Cuccittini,0.6205572188955423,0.4663498003992018,0.6356997228820269,0.5663390736342035
La Liga 2020/2021 Barcelona,0,Lionel Andrés Messi Cuccittini,Pedro González López,219.0,1648.5,0.132848044,5503,33,"[76.28396674584323, 45.30712589073629]",1,30486,26,"[70.47105643994209, 33.34645441389291]",7,1.6329588014981273,Lionel Andrés Messi Cuccittini,Pedro González López,0.6356997228820269,0.5663390736342035,0.5872588036661841,0.4168306801736613
La Liga 2020/2021 Barcelona,0,Jordi Alba Ramos,Pedro González López,290.0,1802.0,0.160932297,5211,33,"[64.3328934010153, 13.335837563451763]",0,30486,26,"[70.47105643994209, 33.34645441389291]",7,2.1647940074906367,Jordi Alba Ramos,Pedro González López,0.5361074450084609,0.16669796954314703,0.5872588036661841,0.4168306801736613
La Liga 2020/2021 Barcelona,0,Lionel Andrés Messi Cuccittini,Clément Lenglet,68.0,1648.5,0.041249621,5503,33,"[76.28396674584323, 45.30712589073629]",1,6826,28,"[48.21802325581388, 24.019534883720908]",6,0.50187265917603,Lionel Andrés Messi Cuccittini,Clément Lenglet,0.6356997228820269,0.5663390736342035,0.40181686046511567,0.3002441860465114
La Liga 2020/2021 Barcelona,0,Sergio Busquets i Burgos,Jordi Alba Ramos,158.0,1855.0,0.085175202,5203,30,"[60.64644268774705, 41.794762845849824]",3,5211,33,"[64.3328934010153, 13.335837563451763]",0,1.1760299625468165,Sergio Busquets i Burgos,Jordi Alba Ramos,0.505387022397892,0.5224345355731228,0.5361074450084609,0.16669796954314703
La Liga 2020/2021 Barcelona,0,Jordi Alba Ramos,Lionel Andrés Messi Cuccittini,253.0,1802.0,0.140399556,5211,33,"[64.3328934010153, 13.335837563451763]",0,5503,33,"[76.28396674584323, 45.30712589073629]",1,1.8876404494382022,Jordi Alba Ramos,Lionel Andrés Messi Cuccittini,0.5361074450084609,0.16669796954314703,0.6356997228820269,0.5663390736342035
La Liga 2020/2021 Barcelona,0,Lionel Andrés Messi Cuccittini,Antoine Griezmann,165.0,1648.5,0.100090992,5503,33,"[76.28396674584323, 45.30712589073629]",1,5487,29,"[74.46686626746508, 37.307984031936144]",5,1.2284644194756553,Lionel Andrés Messi Cuccittini,Antoine Griezmann,0.6356997228820269,0.5663390736342035,0.6205572188955423,0.4663498003992018
La Liga 2020/2021 Barcelona,0,Pedro González López,Gerard Piqué Bernabéu,42.0,1234.0,0.034035656,30486,26,"[70.47105643994209, 33.34645441389291]",7,5213,18,"[44.90674157303369, 46.00134831460674]",10,0.30711610486891383,Pedro González López,Gerard Piqué Bernabéu,0.5872588036661841,0.4168306801736613,0.3742228464419474,0.5750168539325842
La Liga 2020/2021 Barcelona,0,Sergio Busquets i Burgos,Clément Lenglet,235.0,1855.0,0.126684636,5203,30,"[60.64644268774705, 41.794762845849824]",3,6826,28,"[48.21802325581388, 24.019534883720908]",6,1.752808988764045,Sergio Busquets i Burgos,Clément Lenglet,0.505387022397892,0.5224345355731228,0.40181686046511567,0.3002441860465114
La Liga 2020/2021 Barcelona,0,Pedro González López,Antoine Griezmann,84.0,1234.0,0.068071313,30486,26,"[70.47105643994209, 33.34645441389291]",7,5487,29,"[74.46686626746508, 37.307984031936144]",5,0.6217228464419475,Pedro González López,Antoine Griezmann,0.5872588036661841,0.4168306801736613,0.6205572188955423,0.4663498003992018
La Liga 2020/2021 Barcelona,0,Pedro González López,Lionel Andrés Messi Cuccittini,237.0,1234.0,0.192058347,30486,26,"[70.47105643994209, 33.34645441389291]",7,5503,33,"[76.28396674584323, 45.30712589073629]",1,1.7677902621722847,Pedro González López,Lionel Andrés Messi Cuccittini,0.5872588036661841,0.4168306801736613,0.6356997228820269,0.5663390736342035
La Liga 2020/2021 Barcelona,0,Antoine Griezmann,Gerard Piqué Bernabéu,11.0,932.0,0.011802575,5487,29,"[74.46686626746508, 37.307984031936144]",5,5213,18,"[44.90674157303369, 46.00134831460674]",10,0.0749063670411985,Antoine Griezmann,Gerard Piqué Bernabéu,0.6205572188955423,0.4663498003992018,0.3742228464419474,0.5750168539325842
La Liga 2020/2021 Barcelona,1,Marc-André ter Stegen,Pedro González López,28.0,675.5,0.041450777,20055,29,"[11.704034582132566, 39.61152737752163]",4,30486,26,"[70.47105643994209, 33.34645441389291]",7,0.20224719101123595,Marc-André ter Stegen,Pedro González López,0.09753362151777138,0.4951440922190204,0.5872588036661841,0.4168306801736613
La Liga 2020/2021 Barcelona,1,Marc-André ter Stegen,Lionel Andrés Messi Cuccittini,21.0,675.5,0.031088083,20055,29,"[11.704034582132566, 39.61152737752163]",4,5503,33,"[76.28396674584323, 45.30712589073629]",1,0.149812734082397,Marc-André ter Stegen,Lionel Andrés Messi Cuccittini,0.09753362151777138,0.4951440922190204,0.6356997228820269,0.5663390736342035
La Liga 2020/2021 Barcelona,0,Sergio Busquets i Burgos,Pedro González López,140.0,1855.0,0.075471698,5203,30,"[60.64644268774705, 41.794762845849824]",3,30486,26,"[70.47105643994209, 33.34645441389291]",7,1.0411985018726593,Sergio Busquets i Burgos,Pedro González López,0.505387022397892,0.5224345355731228,0.5872588036661841,0.4168306801736613
La Liga 2020/2021 Barcelona,0,Pedro González López,Clément Lenglet,108.0,1234.0,0.087520259,30486,26,"[70.47105643994209, 33.34645441389291]",7,6826,28,"[48.21802325581388, 24.019534883720908]",6,0.8014981273408239,Pedro González López,Clément Lenglet,0.5872588036661841,0.4168306801736613,0.40181686046511567,0.3002441860465114
La Liga 2020/2021 Barcelona,0,Antoine Griezmann,Clément Lenglet,57.0,932.0,0.061158798,5487,29,"[74.46686626746508, 37.307984031936144]",5,6826,28,"[48.21802325581388, 24.019534883720908]",6,0.41947565543071164,Antoine Griezmann,Clément Lenglet,0.6205572188955423,0.4663498003992018,0.40181686046511567,0.3002441860465114
La Liga 2020/2021 Barcelona,0,Antoine Griezmann,Pedro González López,106.0,932.0,0.113733906,5487,29,"[74.46686626746508, 37.307984031936144]",5,30486,26,"[70.47105643994209, 33.34645441389291]",7,0.7865168539325843,Antoine Griezmann,Pedro González López,0.6205572188955423,0.4663498003992018,0.5872588036661841,0.4168306801736613
La Liga 2020/2021 Barcelona,0,Antoine Griezmann,Sergio Busquets i Burgos,100.0,932.0,0.107296137,5487,29,"[74.46686626746508, 37.307984031936144]",5,5203,30,"[60.64644268774705, 41.794762845849824]",3,0.7415730337078652,Antoine Griezmann,Sergio Busquets i Burgos,0.6205572188955423,0.4663498003992018,0.505387022397892,0.5224345355731228
La Liga 2020/2021 Barcelona,0,Gerard Piqué Bernabéu,Pedro González López,28.0,814.0,0.034398034,5213,18,"[44.90674157303369, 46.00134831460674]",10,30486,26,"[70.47105643994209, 33.34645441389291]",7,0.20224719101123595,Gerard Piqué Bernabéu,Pedro González López,0.3742228464419474,0.5750168539325842,0.5872588036661841,0.4168306801736613
La Liga 2020/2021 Barcelona,0,Jordi Alba Ramos,Marc-André ter Stegen,53.0,1802.0,0.029411765,5211,33,"[64.3328934010153, 13.335837563451763]",0,20055,29,"[11.704034582132566, 39.61152737752163]",4,0.3895131086142322,Jordi Alba Ramos,Marc-André ter Stegen,0.5361074450084609,0.16669796954314703,0.09753362151777138,0.4951440922190204
La Liga 2020/2021 Barcelona,0,Clément Lenglet,Antoine Griezmann,62.0,1700.0,0.036470588,6826,28,"[48.21802325581388, 24.019534883720908]",6,5487,29,"[74.46686626746508, 37.307984031936144]",5,0.45692883895131087,Clément Lenglet,Antoine Griezmann,0.40181686046511567,0.3002441860465114,0.6205572188955423,0.4663498003992018
La Liga 2020/2021 Barcelona,1,Marc-André ter Stegen,Jordi Alba Ramos,82.0,675.5,0.121391562,20055,29,"[11.704034582132566, 39.61152737752163]",4,5211,33,"[64.3328934010153, 13.335837563451763]",0,0.6067415730337079,Marc-André ter Stegen,Jordi Alba Ramos,0.09753362151777138,0.4951440922190204,0.5361074450084609,0.16669796954314703
La Liga 2020/2021 Barcelona,0,Clément Lenglet,Sergino Dest,30.0,1700.0,0.017647059,6826,28,"[48.21802325581388, 24.019534883720908]",6,21881,21,"[69.61120879120882, 64.02923076923081]",8,0.21722846441947566,Clément Lenglet,Sergino Dest,0.40181686046511567,0.3002441860465114,0.5800934065934069,0.8003653846153851
La Liga 2020/2021 Barcelona,0,Sergino Dest,Sergio Busquets i Burgos,113.0,830.0,0.136144578,21881,21,"[69.61120879120882, 64.02923076923081]",8,5203,30,"[60.64644268774705, 41.794762845849824]",3,0.8389513108614233,Sergino Dest,Sergio Busquets i Burgos,0.5800934065934069,0.8003653846153851,0.505387022397892,0.5224345355731228
La Liga 2020/2021 Barcelona,0,Lionel Andrés Messi Cuccittini,Sergino Dest,124.0,1648.5,0.075219897,5503,33,"[76.28396674584323, 45.30712589073629]",1,21881,21,"[69.61120879120882, 64.02923076923081]",8,0.9213483146067416,Lionel Andrés Messi Cuccittini,Sergino Dest,0.6356997228820269,0.5663390736342035,0.5800934065934069,0.8003653846153851
La Liga 2020/2021 Barcelona,0,Sergino Dest,Lionel Andrés Messi Cuccittini,153.0,830.0,0.184337349,21881,21,"[69.61120879120882, 64.02923076923081]",8,5503,33,"[76.28396674584323, 45.30712589073629]",1,1.1385767790262171,Sergino Dest,Lionel Andrés Messi Cuccittini,0.5800934065934069,0.8003653846153851,0.6356997228820269,0.5663390736342035
La Liga 2020/2021 Barcelona,0,Sergino Dest,Marc-André ter Stegen,22.0,830.0,0.026506024,21881,21,"[69.61120879120882, 64.02923076923081]",8,20055,29,"[11.704034582132566, 39.61152737752163]",4,0.15730337078651685,Sergino Dest,Marc-André ter Stegen,0.5800934065934069,0.8003653846153851,0.09753362151777138,0.4951440922190204
La Liga 2020/2021 Barcelona,1,Marc-André ter Stegen,Sergino Dest,25.0,675.5,0.037009623,20055,29,"[11.704034582132566, 39.61152737752163]",4,21881,21,"[69.61120879120882, 64.02923076923081]",8,0.1797752808988764,Marc-André ter Stegen,Sergino Dest,0.09753362151777138,0.4951440922190204,0.5800934065934069,0.8003653846153851
La Liga 2020/2021 Barcelona,0,Sergino Dest,Jordi Alba Ramos,10.0,830.0,0.012048193,21881,21,"[69.61120879120882, 64.02923076923081]",8,5211,33,"[64.3328934010153, 13.335837563451763]",0,0.06741573033707865,Sergino Dest,Jordi Alba Ramos,0.5800934065934069,0.8003653846153851,0.5361074450084609,0.16669796954314703
La Liga 2020/2021 Barcelona,0,Clément Lenglet,Lionel Andrés Messi Cuccittini,73.0,1700.0,0.042941176,6826,28,"[48.21802325581388, 24.019534883720908]",6,5503,33,"[76.28396674584323, 45.30712589073629]",1,0.5393258426966292,Clément Lenglet,Lionel Andrés Messi Cuccittini,0.40181686046511567,0.3002441860465114,0.6356997228820269,0.5663390736342035
La Liga 2020/2021 Barcelona,0,Jordi Alba Ramos,Sergino Dest,21.0,1802.0,0.011653718,5211,33,"[64.3328934010153, 13.335837563451763]",0,21881,21,"[69.61120879120882, 64.02923076923081]",8,0.149812734082397,Jordi Alba Ramos,Sergino Dest,0.5361074450084609,0.16669796954314703,0.5800934065934069,0.8003653846153851
